date,host_memory_mb,memory_used_mb,disk_total_gb,disk_used_gb,backup_staging_peak_gb,app_oom_restarts,db_pool_max,db_max_connections,db_admin_reserve,p95_ms,error_rate
2026-07-09,4096,2700,100,63.0,10,0,95,100,15,320.0,0.004
2026-07-10,4096,2728,100,63.69,10,0,95,100,15,326.2,0.0043
2026-07-11,4096,2755,100,64.38,10,0,95,100,15,332.4,0.0046
2026-07-12,4096,2783,100,65.07,10,0,95,100,15,338.6,0.0048
2026-07-13,4096,2810,100,65.76,10,0,95,100,15,344.8,0.0051
2026-07-14,4096,2838,100,66.45,10,0,95,100,15,351.0,0.0054
2026-07-15,4096,2866,100,67.14,10,0,95,100,15,357.2,0.0057
2026-07-16,4096,2893,100,67.83,10,0,95,100,15,363.4,0.0059
2026-07-17,4096,2921,100,68.52,10,0,95,100,15,369.7,0.0062
2026-07-18,4096,2948,100,69.21,10,0,95,100,15,375.9,0.0065
2026-07-19,4096,2976,100,69.9,10,0,95,100,15,382.1,0.0068
2026-07-20,4096,3003,100,70.59,10,0,95,100,15,388.3,0.007
2026-07-21,4096,3031,100,71.28,10,0,95,100,15,394.5,0.0073
2026-07-22,4096,3059,100,71.97,10,0,95,100,15,400.7,0.0076
2026-07-23,4096,3086,100,72.66,10,0,95,100,15,406.9,0.0079
2026-07-24,4096,3114,100,73.34,10,0,95,100,15,413.1,0.0081
2026-07-25,4096,3141,100,74.03,10,0,95,100,15,419.3,0.0084
2026-07-26,4096,3169,100,74.72,10,0,95,100,15,425.5,0.0087
2026-07-27,4096,3197,100,75.41,10,0,95,100,15,431.7,0.009
2026-07-28,4096,3224,100,76.1,10,0,95,100,15,437.9,0.0092
2026-07-29,4096,3252,100,76.79,10,0,95,100,15,444.1,0.0095
2026-07-30,4096,3279,100,77.48,10,1,95,100,15,450.3,0.0098
2026-07-31,4096,3307,100,78.17,10,0,95,100,15,456.6,0.0101
2026-08-01,4096,3334,100,78.86,10,0,95,100,15,462.8,0.0103
2026-08-02,4096,3362,100,79.55,10,0,95,100,15,469.0,0.0106
2026-08-03,4096,3390,100,80.24,10,0,95,100,15,475.2,0.0109
2026-08-04,4096,3417,100,80.93,10,0,95,100,15,481.4,0.0112
2026-08-05,4096,3445,100,81.62,10,1,95,100,15,487.6,0.0114
2026-08-06,4096,3472,100,82.31,10,0,95,100,15,493.8,0.0117
2026-08-07,4096,3500,100,83.0,10,0,95,100,15,500.0,0.012
