object_or_state,scope,owner,created_by,activated_by,destroyed_or_unloaded_by,stable_identity,runtime_generation,invariant
GameProcess,process,PlatformRuntime,platform_launcher,boot,platform_shutdown,process,1,"exactly one process root owns process services"
AudioDirector,process_service,GameProcess,process_service_registry,boot,GameProcess_shutdown,service:audio,1,"stores generation-checked player handles rather than raw match objects"
TelemetryClient,process_service,GameProcess,process_service_registry,boot,GameProcess_shutdown,service:telemetry,1,"every match subscription has an explicit revocable token"
FrontEndWorld,world_session,GameProcess,world_loader,frontend_activation,world_coordinator,world:frontend,1,"may be resident with ArenaWorld but only one world is active"
ArenaSession,arena_generation,GameProcess,arena_load_request,request_accept,cancel_or_result_commit,arena-session,7|8,"only the current open generation may commit load results"
ArenaWorld,arena_generation,ArenaSession,world_streamer,load_gate_commit,ArenaSession_unload,world:arena,7|8,"callbacks may mutate it only while their generation is current and resident"
MatchState,match_generation,ArenaWorld,match_factory,match_created,ArenaSession_teardown,match,7|8,"one live MatchState per arena generation and no callbacks after destroy"
PlayerEntity:p1,match_entity,MatchState,entity_spawner,entity_spawned,MatchState_teardown,player:p1,7,"process services resolve this identity through a checked runtime handle"
RelayCore[3],match_entity,MatchState,entity_spawner,match_start,MatchState_teardown,relay-core:slot,7,"exactly three cores exist only while generation 7 MatchState is live"
HazardSpawner,match_entity,MatchState,entity_spawner,match_start,MatchState_teardown,hazard-spawner,7,"cannot schedule hazards after match teardown begins"
ArenaHud:local-1,local_projection,LocalUiRoot:local-1,ui_factory,hud_bound,ui_unbind_before_match_destroy,hud:local-1,7,"binding token and MatchState handle carry the same live generation"
NavMeshRequest,async_request,ArenaSession,async_loader,async_load_started,cancel_ack_or_completion_release,request:navmesh,7,"completion may publish only to a live generation-7 target and releases payload once"
CosmeticBundleRequest,async_request,ArenaSession,async_loader,async_load_started,cancel_ack_or_completion_release,request:cosmetic-bundle,7,"late completion releases payload but cannot attach to an unloaded world"
