state_id,scope,authoritative_owner,writer,readers,serialized_in_save,recorded_in_replay,replicated,lifetime,invariant
runtime.process_phase,process,runtime_controller,runtime_transition,"frontend,tools,telemetry",no,no,no,process,"one legal phase at a time"
runtime.frontend_generation,world,runtime_controller,world_transition,"UI,asset_loader",no,no,no,frontend world,"late arena callback cannot mutate frontend"
runtime.arena_generation,arena_session,arena_session_owner,load_or_cancel_transition,"asset_loader,match,presentation,telemetry",no,yes,session metadata,load request through cleanup,"generation 20 completion cannot attach to generation 21"
match.phase,match,rules_subsystem,simulation_step,"commands,presentation,save,network,telemetry",no,yes,yes,match,"result_committed is reached at most once"
player.p1.move_intent,command_stream,input_command_router,accepted_move_command,"simulation,replay,network",no,yes,intent to authority,bounded command history,"device-independent axes remain in [-1000,1000]"
player.p1.transform,entity,simulation,simulation_step,"collision,presentation,replay,network",no,yes,yes,entity generation,"one authoritative transform writer per tick"
player.p1.dash_cooldown_ticks,entity,simulation,accepted_dash_and_step,"rules,presentation,replay,network",no,yes,owner,match/entity,"non-negative and dash accepted only at zero"
match.active_core_ids,match,rules_subsystem,accepted_interact,"presentation,replay,save_result,network",no,yes,yes,match,"count equals unique active core ids"
profile.result_commit_ids,profile,profile_save_owner,idempotent_result_commit,"rules,UI,telemetry",yes,yes,result event,profile,"match-1 appears at most once"
profile.best_time_ms,profile,profile_save_owner,successful_result_commit,"UI,telemetry",yes,yes,result summary,profile,"null or non-negative integer and changes only after commit"
profile.input_settings,profile,profile_save_owner,settings_command,"input_router,UI",yes,no,no,profile,"bindings reference known logical actions"
profile.accessibility,profile,profile_save_owner,settings_command,"presentation,UI",yes,no,no,profile,"critical information retains an enabled alternative cue"
presentation.event_ids,local_presentation,presentation_projector,authoritative_event_consumer,"animation,audio,VFX,UI",no,trace only,no,match/local view,"same event id produces at most one one-shot"
asset.resident_set,world_generation,asset_loader,validated_completion,"world,presentation,profiler",no,no,no,request/world plus release fence,"only current generation can attach and exit restores baseline"
network.last_snapshot_sequence,connection,network_replica,accepted_server_snapshot,"prediction,presentation,telemetry",no,network trace,owner client,connection generation,"applied sequence is monotonic"
