requirement_id,owner,state_or_contract,implementation_or_profile,test_or_fixture,telemetry_or_profile,release_evidence,status,remaining_risk
REQ-001,input_owner,logical Move Dash Interact actions,headless consumes device-independent commands,input-remap fixture and device matrix,input binding decision trace,input-remap pass on rc3,partial-pass,"keyboard/gamepad remap path is outside CLI"
REQ-002,simulation_owner,fixed tick canonical gameplay state,simulate smooth jittered hitch,public contract hash equality,frame steps and dropped us,rules-tests pass,pass-headless,"engine physics and render integration remain manual"
REQ-003,input_platform_owner,focus loss clears held state,focus cleanup contract only,OS focus/device failure injection,input reset event and post-restore command trace,no attached evidence,manual-required,"stuck input can remain in real platform path"
REQ-004,runtime_asset_owner,arena generation cancel and stale rejection,simulate stale-load,runtime events 10-16 and contract check,stale completion count and resource baseline,load-cancel unknown,block-unknown,"packaged async callback and fence not measured"
REQ-005,content_presentation_owner,optional cosmetic cannot block control,simulate missing-cosmetic,contract control_ready and degraded,missing asset and fallback event,no separate release item,pass-headless,"visual/accessibility fallback needs playtest"
REQ-006,profile_save_owner,v1 to v2 data preservation,migrate-save and atomic output,51720ms aliases plus corrupt sentinel,migration stage and previous generation,save-matrix stale on rc2,block-stale,"rc3 target storage and rollback not rerun"
REQ-007,replay_QA_owner,first divergent checkpoint,headless replay_evidence,sequence 5 mutant expected checkpoint 60,checkpoint hashes and changed sequence,replay-regression pass,pass-headless,"cross-platform and engine physics scope excluded"
REQ-008,network_rules_owner,client intent server result boundary,authority report and non-owner scenario,network events duplicate stale non-owner result claim,authority rejection reason and identity,network-authority pass,pass-headless,"transport prediction reconnect not implemented"
REQ-009,performance_content_owner,handheld control-ready p95 <=4000ms,handheld rc3 target profile,target capture summary and modeled profile fix,control-ready p95 and gate markers,handheld-profile fail,fail,"observed 4320ms; modeled 3760 requires target rerun"
REQ-010,performance_owner,frame p95 <=16.67ms,handheld rc3 target profile,target capture summary and headless hitch,frame p95 p99 worst hitch,handheld-profile fail,fail,"observed p95 18.4ms and p99 31ms"
REQ-011,accessibility_owner,subtitle and non-color critical cues,presentation contract and migrated subtitle,manual cue coverage review,critical event cue coverage,accessibility-review unknown,block-unknown,"headless emits semantic events but no UI audio VFX"
REQ-012,profile_platform_owner,idempotent result across suspend retry,result_commit_ids set and result event id,runtime events 18-21 plus suspend failure injection,commit attempt id and durable result count,suspend-result-commit fail,fail,"CLI set semantics do not prove platform durable commit"
