row_id,entity_id,split
customer-0001-2025-01,customer-0001,validation
customer-0001-2025-02,customer-0001,validation
customer-0001-2025-03,customer-0001,validation
customer-0002-2025-01,customer-0002,train
customer-0002-2025-02,customer-0002,train
customer-0002-2025-03,customer-0002,train
customer-0003-2025-01,customer-0003,validation
customer-0003-2025-02,customer-0003,validation
customer-0003-2025-03,customer-0003,validation
customer-0004-2025-01,customer-0004,train
customer-0004-2025-02,customer-0004,train
customer-0004-2025-03,customer-0004,train
customer-0005-2025-01,customer-0005,test
customer-0005-2025-02,customer-0005,test
customer-0005-2025-03,customer-0005,test
customer-0006-2025-01,customer-0006,test
customer-0006-2025-02,customer-0006,test
customer-0006-2025-03,customer-0006,test
customer-0007-2025-01,customer-0007,train
customer-0007-2025-02,customer-0007,train
customer-0007-2025-03,customer-0007,train
customer-0008-2025-01,customer-0008,train
customer-0008-2025-02,customer-0008,train
customer-0008-2025-03,customer-0008,train
customer-0009-2025-01,customer-0009,validation
customer-0009-2025-02,customer-0009,validation
customer-0009-2025-03,customer-0009,validation
customer-0010-2025-01,customer-0010,train
customer-0010-2025-02,customer-0010,train
customer-0010-2025-03,customer-0010,train
customer-0011-2025-01,customer-0011,test
customer-0011-2025-02,customer-0011,test
customer-0011-2025-03,customer-0011,test
customer-0012-2025-01,customer-0012,train
customer-0012-2025-02,customer-0012,train
customer-0012-2025-03,customer-0012,train
customer-0013-2025-01,customer-0013,train
customer-0013-2025-02,customer-0013,train
customer-0013-2025-03,customer-0013,train
customer-0014-2025-01,customer-0014,train
customer-0014-2025-02,customer-0014,train
customer-0014-2025-03,customer-0014,train
customer-0015-2025-01,customer-0015,train
customer-0015-2025-02,customer-0015,train
customer-0015-2025-03,customer-0015,train
customer-0016-2025-01,customer-0016,train
customer-0016-2025-02,customer-0016,train
customer-0016-2025-03,customer-0016,train
customer-0017-2025-01,customer-0017,train
customer-0017-2025-02,customer-0017,train
customer-0017-2025-03,customer-0017,train
customer-0018-2025-01,customer-0018,train
customer-0018-2025-02,customer-0018,train
customer-0018-2025-03,customer-0018,train
customer-0019-2025-01,customer-0019,test
customer-0019-2025-02,customer-0019,test
customer-0019-2025-03,customer-0019,test
customer-0020-2025-01,customer-0020,train
customer-0020-2025-02,customer-0020,train
customer-0020-2025-03,customer-0020,train
customer-0021-2025-01,customer-0021,train
customer-0021-2025-02,customer-0021,train
customer-0021-2025-03,customer-0021,train
customer-0022-2025-01,customer-0022,train
customer-0022-2025-02,customer-0022,train
customer-0022-2025-03,customer-0022,train
customer-0023-2025-01,customer-0023,test
customer-0023-2025-02,customer-0023,test
customer-0023-2025-03,customer-0023,test
customer-0024-2025-01,customer-0024,train
customer-0024-2025-02,customer-0024,train
customer-0024-2025-03,customer-0024,train
customer-0025-2025-01,customer-0025,test
customer-0025-2025-02,customer-0025,test
customer-0025-2025-03,customer-0025,test
customer-0026-2025-01,customer-0026,train
customer-0026-2025-02,customer-0026,train
customer-0026-2025-03,customer-0026,train
customer-0027-2025-01,customer-0027,train
customer-0027-2025-02,customer-0027,train
customer-0027-2025-03,customer-0027,train
customer-0028-2025-01,customer-0028,test
customer-0028-2025-02,customer-0028,test
customer-0028-2025-03,customer-0028,test
customer-0029-2025-01,customer-0029,test
customer-0029-2025-02,customer-0029,test
customer-0029-2025-03,customer-0029,test
customer-0030-2025-01,customer-0030,test
customer-0030-2025-02,customer-0030,test
customer-0030-2025-03,customer-0030,test
customer-0031-2025-01,customer-0031,train
customer-0031-2025-02,customer-0031,train
customer-0031-2025-03,customer-0031,train
customer-0032-2025-01,customer-0032,validation
customer-0032-2025-02,customer-0032,validation
customer-0032-2025-03,customer-0032,validation
customer-0033-2025-01,customer-0033,validation
customer-0033-2025-02,customer-0033,validation
customer-0033-2025-03,customer-0033,validation
customer-0034-2025-01,customer-0034,train
customer-0034-2025-02,customer-0034,train
customer-0034-2025-03,customer-0034,train
customer-0035-2025-01,customer-0035,train
customer-0035-2025-02,customer-0035,train
customer-0035-2025-03,customer-0035,train
customer-0036-2025-01,customer-0036,validation
customer-0036-2025-02,customer-0036,validation
customer-0036-2025-03,customer-0036,validation
customer-0037-2025-01,customer-0037,validation
customer-0037-2025-02,customer-0037,validation
customer-0037-2025-03,customer-0037,validation
customer-0038-2025-01,customer-0038,train
customer-0038-2025-02,customer-0038,train
customer-0038-2025-03,customer-0038,train
customer-0039-2025-01,customer-0039,train
customer-0039-2025-02,customer-0039,train
customer-0039-2025-03,customer-0039,train
customer-0040-2025-01,customer-0040,validation
customer-0040-2025-02,customer-0040,validation
customer-0040-2025-03,customer-0040,validation
customer-0041-2025-01,customer-0041,test
customer-0041-2025-02,customer-0041,test
customer-0041-2025-03,customer-0041,test
customer-0042-2025-01,customer-0042,validation
customer-0042-2025-02,customer-0042,validation
customer-0042-2025-03,customer-0042,validation
customer-0043-2025-01,customer-0043,train
customer-0043-2025-02,customer-0043,train
customer-0043-2025-03,customer-0043,train
customer-0044-2025-01,customer-0044,train
customer-0044-2025-02,customer-0044,train
customer-0044-2025-03,customer-0044,train
customer-0045-2025-01,customer-0045,validation
customer-0045-2025-02,customer-0045,validation
customer-0045-2025-03,customer-0045,validation
customer-0046-2025-01,customer-0046,train
customer-0046-2025-02,customer-0046,train
customer-0046-2025-03,customer-0046,train
customer-0047-2025-01,customer-0047,train
customer-0047-2025-02,customer-0047,train
customer-0047-2025-03,customer-0047,train
customer-0048-2025-01,customer-0048,train
customer-0048-2025-02,customer-0048,train
customer-0048-2025-03,customer-0048,train
customer-0049-2025-01,customer-0049,train
customer-0049-2025-02,customer-0049,train
customer-0049-2025-03,customer-0049,train
customer-0050-2025-01,customer-0050,validation
customer-0050-2025-02,customer-0050,validation
customer-0050-2025-03,customer-0050,validation
customer-0051-2025-01,customer-0051,train
customer-0051-2025-02,customer-0051,train
customer-0051-2025-03,customer-0051,train
customer-0052-2025-01,customer-0052,validation
customer-0052-2025-02,customer-0052,validation
customer-0052-2025-03,customer-0052,validation
customer-0053-2025-01,customer-0053,test
customer-0053-2025-02,customer-0053,test
customer-0053-2025-03,customer-0053,test
customer-0054-2025-01,customer-0054,validation
customer-0054-2025-02,customer-0054,validation
customer-0054-2025-03,customer-0054,validation
customer-0055-2025-01,customer-0055,train
customer-0055-2025-02,customer-0055,train
customer-0055-2025-03,customer-0055,train
customer-0056-2025-01,customer-0056,validation
customer-0056-2025-02,customer-0056,validation
customer-0056-2025-03,customer-0056,validation
customer-0057-2025-01,customer-0057,test
customer-0057-2025-02,customer-0057,test
customer-0057-2025-03,customer-0057,test
customer-0058-2025-01,customer-0058,train
customer-0058-2025-02,customer-0058,train
customer-0058-2025-03,customer-0058,train
customer-0059-2025-01,customer-0059,validation
customer-0059-2025-02,customer-0059,validation
customer-0059-2025-03,customer-0059,validation
customer-0060-2025-01,customer-0060,validation
customer-0060-2025-02,customer-0060,validation
customer-0060-2025-03,customer-0060,validation
customer-0061-2025-01,customer-0061,train
customer-0061-2025-02,customer-0061,train
customer-0061-2025-03,customer-0061,train
customer-0062-2025-01,customer-0062,validation
customer-0062-2025-02,customer-0062,validation
customer-0062-2025-03,customer-0062,validation
customer-0063-2025-01,customer-0063,test
customer-0063-2025-02,customer-0063,test
customer-0063-2025-03,customer-0063,test
customer-0064-2025-01,customer-0064,train
customer-0064-2025-02,customer-0064,train
customer-0064-2025-03,customer-0064,train
customer-0065-2025-01,customer-0065,train
customer-0065-2025-02,customer-0065,train
customer-0065-2025-03,customer-0065,train
customer-0066-2025-01,customer-0066,train
customer-0066-2025-02,customer-0066,train
customer-0066-2025-03,customer-0066,train
customer-0067-2025-01,customer-0067,validation
customer-0067-2025-02,customer-0067,validation
customer-0067-2025-03,customer-0067,validation
customer-0068-2025-01,customer-0068,train
customer-0068-2025-02,customer-0068,train
customer-0068-2025-03,customer-0068,train
customer-0069-2025-01,customer-0069,test
customer-0069-2025-02,customer-0069,test
customer-0069-2025-03,customer-0069,test
customer-0070-2025-01,customer-0070,train
customer-0070-2025-02,customer-0070,train
customer-0070-2025-03,customer-0070,train
customer-0071-2025-01,customer-0071,train
customer-0071-2025-02,customer-0071,train
customer-0071-2025-03,customer-0071,train
customer-0072-2025-01,customer-0072,test
customer-0072-2025-02,customer-0072,test
customer-0072-2025-03,customer-0072,test
customer-0073-2025-01,customer-0073,validation
customer-0073-2025-02,customer-0073,validation
customer-0073-2025-03,customer-0073,validation
customer-0074-2025-01,customer-0074,test
customer-0074-2025-02,customer-0074,test
customer-0074-2025-03,customer-0074,test
customer-0075-2025-01,customer-0075,train
customer-0075-2025-02,customer-0075,train
customer-0075-2025-03,customer-0075,train
customer-0076-2025-01,customer-0076,train
customer-0076-2025-02,customer-0076,train
customer-0076-2025-03,customer-0076,train
customer-0077-2025-01,customer-0077,train
customer-0077-2025-02,customer-0077,train
customer-0077-2025-03,customer-0077,train
customer-0078-2025-01,customer-0078,train
customer-0078-2025-02,customer-0078,train
customer-0078-2025-03,customer-0078,train
customer-0079-2025-01,customer-0079,test
customer-0079-2025-02,customer-0079,test
customer-0079-2025-03,customer-0079,test
customer-0080-2025-01,customer-0080,train
customer-0080-2025-02,customer-0080,train
customer-0080-2025-03,customer-0080,train
customer-0081-2025-01,customer-0081,train
customer-0081-2025-02,customer-0081,train
customer-0081-2025-03,customer-0081,train
customer-0082-2025-01,customer-0082,train
customer-0082-2025-02,customer-0082,train
customer-0082-2025-03,customer-0082,train
customer-0083-2025-01,customer-0083,test
customer-0083-2025-02,customer-0083,test
customer-0083-2025-03,customer-0083,test
customer-0084-2025-01,customer-0084,train
customer-0084-2025-02,customer-0084,train
customer-0084-2025-03,customer-0084,train
customer-0085-2025-01,customer-0085,train
customer-0085-2025-02,customer-0085,train
