row_id,entity_id,snapshot_month,tenure_months,monthly_usage_hours,usage_change_90d,support_tickets_90d,late_payments_180d,plan_tier,region,marketing_contacts_30d,future_refund_30d,churn_30d
customer-0001-2025-01,customer-0001,2025-01,41,32.793,-0.083,0,0,basic,north,4,0,0
customer-0001-2025-02,customer-0001,2025-02,42,30.550,-4.432,0,0,basic,north,3,1,0
customer-0001-2025-03,customer-0001,2025-03,43,26.057,-18.215,1,0,basic,north,4,0,0
customer-0002-2025-01,customer-0002,2025-01,15,21.248,-6.948,1,0,premium,east,0,0,0
customer-0002-2025-02,customer-0002,2025-02,16,24.689,2.715,0,0,premium,east,4,0,0
customer-0002-2025-03,customer-0002,2025-03,17,23.736,9.717,0,1,premium,east,0,0,0
customer-0003-2025-01,customer-0003,2025-01,27,16.347,-5.103,1,0,standard,north,3,0,0
customer-0003-2025-02,customer-0003,2025-02,28,18.102,-5.043,1,1,standard,north,4,0,0
customer-0003-2025-03,customer-0003,2025-03,29,17.799,-6.147,1,2,standard,north,1,1,1
customer-0004-2025-01,customer-0004,2025-01,10,22.156,-2.365,0,0,standard,south,0,0,0
customer-0004-2025-02,customer-0004,2025-02,11,23.508,-3.307,0,0,standard,south,0,0,0
customer-0004-2025-03,customer-0004,2025-03,12,27.149,3.694,0,0,standard,south,0,0,0
customer-0005-2025-01,customer-0005,2025-01,30,15.734,9.945,3,1,premium,south,4,0,0
customer-0005-2025-02,customer-0005,2025-02,31,10.506,0.691,3,2,premium,south,0,0,0
customer-0005-2025-03,customer-0005,2025-03,32,11.968,-5.123,0,1,premium,south,0,0,0
customer-0006-2025-01,customer-0006,2025-01,25,26.491,-8.471,1,0,basic,north,2,1,1
customer-0006-2025-02,customer-0006,2025-02,26,22.723,-11.201,0,0,basic,north,0,0,0
customer-0006-2025-03,customer-0006,2025-03,27,21.957,-4.271,1,0,basic,north,3,0,0
customer-0007-2025-01,customer-0007,2025-01,38,17.229,1.856,3,0,premium,north,1,0,0
customer-0007-2025-02,customer-0007,2025-02,39,13.776,4.928,1,0,premium,north,1,0,0
customer-0007-2025-03,customer-0007,2025-03,40,9.563,-2.892,1,0,premium,north,2,0,0
customer-0008-2025-01,customer-0008,2025-01,30,12.191,-6.864,1,0,basic,west,1,0,1
customer-0008-2025-02,customer-0008,2025-02,31,15.276,-0.305,0,0,basic,west,3,0,0
customer-0008-2025-03,customer-0008,2025-03,32,19.211,-5.734,0,0,basic,west,0,0,0
customer-0009-2025-01,customer-0009,2025-01,21,27.255,-8.478,1,0,standard,north,2,0,0
customer-0009-2025-02,customer-0009,2025-02,22,28.233,-8.784,1,0,standard,north,1,0,0
customer-0009-2025-03,customer-0009,2025-03,23,30.071,-11.065,1,0,standard,north,3,0,0
customer-0010-2025-01,customer-0010,2025-01,46,24.235,1.748,1,0,standard,east,4,0,0
customer-0010-2025-02,customer-0010,2025-02,47,28.876,2.588,1,0,standard,east,3,0,0
customer-0010-2025-03,customer-0010,2025-03,48,26.048,4.738,0,0,standard,east,3,0,0
customer-0011-2025-01,customer-0011,2025-01,39,25.277,12.842,2,1,standard,west,4,0,0
customer-0011-2025-02,customer-0011,2025-02,40,27.316,5.872,1,0,standard,west,1,0,0
customer-0011-2025-03,customer-0011,2025-03,41,23.279,3.135,0,2,standard,west,1,0,0
customer-0012-2025-01,customer-0012,2025-01,6,15.844,1.289,1,1,basic,south,1,0,0
customer-0012-2025-02,customer-0012,2025-02,7,18.224,2.493,0,0,basic,south,4,1,0
customer-0012-2025-03,customer-0012,2025-03,8,17.045,2.313,7,0,basic,south,1,1,1
customer-0013-2025-01,customer-0013,2025-01,36,20.091,7.295,3,0,basic,south,2,0,0
customer-0013-2025-02,customer-0013,2025-02,37,13.300,-4.196,2,0,basic,south,1,0,0
customer-0013-2025-03,customer-0013,2025-03,38,11.833,-6.881,1,0,basic,south,4,0,0
customer-0014-2025-01,customer-0014,2025-01,33,23.586,-6.016,0,0,basic,north,1,0,0
customer-0014-2025-02,customer-0014,2025-02,34,17.335,-8.066,0,0,basic,north,2,0,0
customer-0014-2025-03,customer-0014,2025-03,35,11.273,-4.013,2,0,basic,north,1,1,1
customer-0015-2025-01,customer-0015,2025-01,20,30.880,2.898,0,0,basic,west,2,0,0
customer-0015-2025-02,customer-0015,2025-02,21,24.925,-9.441,0,0,basic,west,3,0,0
customer-0015-2025-03,customer-0015,2025-03,22,29.399,2.202,0,0,basic,west,4,1,1
customer-0016-2025-01,customer-0016,2025-01,43,16.439,5.044,1,1,basic,east,0,0,0
customer-0016-2025-02,customer-0016,2025-02,44,11.120,-3.796,5,1,basic,east,3,1,1
customer-0016-2025-03,customer-0016,2025-03,45,15.743,8.365,0,0,basic,east,3,0,0
customer-0017-2025-01,customer-0017,2025-01,20,16.084,-10.751,0,2,basic,east,0,0,0
customer-0017-2025-02,customer-0017,2025-02,21,26.061,18.916,1,0,basic,east,0,0,0
customer-0017-2025-03,customer-0017,2025-03,22,22.614,-0.151,3,0,basic,east,4,0,0
customer-0018-2025-01,customer-0018,2025-01,13,20.193,6.271,3,1,standard,south,1,0,0
customer-0018-2025-02,customer-0018,2025-02,14,20.286,-0.788,3,2,standard,south,0,0,0
customer-0018-2025-03,customer-0018,2025-03,15,26.109,7.658,1,0,standard,south,4,0,0
customer-0019-2025-01,customer-0019,2025-01,39,21.521,-2.910,0,0,premium,south,2,0,0
customer-0019-2025-02,customer-0019,2025-02,40,32.670,3.924,0,1,premium,south,4,0,0
customer-0019-2025-03,customer-0019,2025-03,41,30.194,0.807,0,1,premium,south,3,0,0
customer-0020-2025-01,customer-0020,2025-01,14,21.544,-8.303,2,1,premium,west,2,0,0
customer-0020-2025-02,customer-0020,2025-02,15,23.405,-7.655,3,1,premium,west,0,0,0
customer-0020-2025-03,customer-0020,2025-03,16,29.594,1.535,0,1,premium,west,4,0,0
customer-0021-2025-01,customer-0021,2025-01,7,24.164,3.224,0,2,premium,north,3,0,0
customer-0021-2025-02,customer-0021,2025-02,8,24.198,-2.559,0,1,premium,north,4,1,1
customer-0021-2025-03,customer-0021,2025-03,9,20.851,-7.069,0,1,premium,north,2,0,0
customer-0022-2025-01,customer-0022,2025-01,10,18.421,-10.390,0,1,standard,north,1,0,0
customer-0022-2025-02,customer-0022,2025-02,11,18.335,-6.000,0,1,standard,north,1,0,0
customer-0022-2025-03,customer-0022,2025-03,12,25.262,2.595,0,0,standard,north,2,0,0
customer-0023-2025-01,customer-0023,2025-01,39,21.159,2.211,0,0,basic,east,2,0,0
customer-0023-2025-02,customer-0023,2025-02,40,19.677,-2.279,0,0,basic,east,0,0,0
customer-0023-2025-03,customer-0023,2025-03,41,12.170,0.484,0,0,basic,east,0,0,0
customer-0024-2025-01,customer-0024,2025-01,45,16.470,-7.190,0,0,basic,north,3,0,0
customer-0024-2025-02,customer-0024,2025-02,46,11.611,-8.834,1,1,basic,north,0,0,0
customer-0024-2025-03,customer-0024,2025-03,47,21.222,-4.743,0,0,basic,north,4,0,0
customer-0025-2025-01,customer-0025,2025-01,28,22.405,-10.206,0,0,basic,south,1,0,0
customer-0025-2025-02,customer-0025,2025-02,29,22.394,-0.221,0,0,basic,south,2,0,0
customer-0025-2025-03,customer-0025,2025-03,30,22.643,-6.607,2,0,basic,south,1,0,0
customer-0026-2025-01,customer-0026,2025-01,9,12.616,-2.288,1,0,basic,north,0,0,0
customer-0026-2025-02,customer-0026,2025-02,10,9.932,0.345,0,0,basic,north,4,0,0
customer-0026-2025-03,customer-0026,2025-03,11,10.248,-3.900,0,0,basic,north,4,0,0
customer-0027-2025-01,customer-0027,2025-01,9,14.077,-0.609,2,0,basic,south,4,0,0
customer-0027-2025-02,customer-0027,2025-02,10,12.093,4.588,1,0,basic,south,1,0,0
customer-0027-2025-03,customer-0027,2025-03,11,21.125,-6.111,1,0,basic,south,0,0,0
customer-0028-2025-01,customer-0028,2025-01,40,17.501,-2.813,1,0,basic,south,2,0,0
customer-0028-2025-02,customer-0028,2025-02,41,17.477,6.284,0,0,basic,south,1,0,0
customer-0028-2025-03,customer-0028,2025-03,42,22.751,-2.391,0,2,basic,south,0,0,0
customer-0029-2025-01,customer-0029,2025-01,11,24.288,-2.134,2,0,basic,west,2,0,0
customer-0029-2025-02,customer-0029,2025-02,12,15.000,-4.292,2,1,basic,west,0,0,0
customer-0029-2025-03,customer-0029,2025-03,13,11.039,-17.236,0,0,basic,west,2,0,0
customer-0030-2025-01,customer-0030,2025-01,20,27.444,-2.060,0,1,basic,north,1,0,0
customer-0030-2025-02,customer-0030,2025-02,21,28.250,-0.306,1,2,basic,north,1,0,1
customer-0030-2025-03,customer-0030,2025-03,22,20.835,-8.311,1,0,basic,north,0,0,0
customer-0031-2025-01,customer-0031,2025-01,15,21.280,4.181,1,1,basic,west,4,0,0
customer-0031-2025-02,customer-0031,2025-02,16,28.299,3.557,1,0,basic,west,2,0,0
customer-0031-2025-03,customer-0031,2025-03,17,27.772,-0.334,0,0,basic,west,4,0,1
customer-0032-2025-01,customer-0032,2025-01,8,5.239,3.734,4,0,premium,south,4,0,0
customer-0032-2025-02,customer-0032,2025-02,9,12.234,0.671,0,0,premium,south,1,0,0
customer-0032-2025-03,customer-0032,2025-03,10,12.053,8.380,1,1,premium,south,2,0,0
customer-0033-2025-01,customer-0033,2025-01,7,20.788,-4.247,1,1,premium,west,0,0,0
customer-0033-2025-02,customer-0033,2025-02,8,21.030,2.832,1,1,premium,west,2,0,0
customer-0033-2025-03,customer-0033,2025-03,9,19.054,0.410,0,0,premium,west,2,0,0
customer-0034-2025-01,customer-0034,2025-01,34,25.573,2.297,1,0,premium,west,0,0,0
customer-0034-2025-02,customer-0034,2025-02,35,26.592,0.435,1,0,premium,west,3,0,0
customer-0034-2025-03,customer-0034,2025-03,36,25.628,-5.046,2,1,premium,west,0,0,0
customer-0035-2025-01,customer-0035,2025-01,34,16.127,-6.208,0,0,premium,south,4,0,0
customer-0035-2025-02,customer-0035,2025-02,35,17.740,-5.020,0,1,premium,south,2,0,0
customer-0035-2025-03,customer-0035,2025-03,36,20.465,-7.252,3,0,premium,south,1,1,1
customer-0036-2025-01,customer-0036,2025-01,7,27.914,3.908,0,1,basic,east,3,0,0
customer-0036-2025-02,customer-0036,2025-02,8,33.459,7.418,1,0,basic,east,2,0,0
customer-0036-2025-03,customer-0036,2025-03,9,26.117,-7.288,1,1,basic,east,3,1,1
customer-0037-2025-01,customer-0037,2025-01,43,9.876,-1.985,0,0,basic,east,1,0,0
customer-0037-2025-02,customer-0037,2025-02,44,10.413,0.778,0,0,basic,east,0,0,0
customer-0037-2025-03,customer-0037,2025-03,45,9.952,-9.199,1,0,basic,east,3,0,0
customer-0038-2025-01,customer-0038,2025-01,16,35.674,-7.129,0,0,standard,south,2,0,0
customer-0038-2025-02,customer-0038,2025-02,17,30.178,-12.398,0,0,standard,south,2,1,1
customer-0038-2025-03,customer-0038,2025-03,18,34.390,-4.754,0,0,standard,south,4,0,0
customer-0039-2025-01,customer-0039,2025-01,30,18.261,10.659,3,1,basic,south,0,0,0
customer-0039-2025-02,customer-0039,2025-02,31,25.058,7.798,0,1,basic,south,0,0,0
customer-0039-2025-03,customer-0039,2025-03,32,20.833,9.799,2,0,basic,south,2,0,0
customer-0040-2025-01,customer-0040,2025-01,7,18.169,-9.108,3,0,premium,west,1,0,1
customer-0040-2025-02,customer-0040,2025-02,8,19.981,-2.707,0,1,premium,west,4,0,0
customer-0040-2025-03,customer-0040,2025-03,9,21.103,-6.499,1,0,premium,west,4,0,0
customer-0041-2025-01,customer-0041,2025-01,40,24.651,5.321,2,1,basic,east,3,0,0
customer-0041-2025-02,customer-0041,2025-02,41,22.099,-16.760,0,0,basic,east,3,1,1
customer-0041-2025-03,customer-0041,2025-03,42,21.173,-5.533,1,0,basic,east,0,0,0
customer-0042-2025-01,customer-0042,2025-01,7,26.675,1.508,1,1,standard,east,1,1,1
customer-0042-2025-02,customer-0042,2025-02,8,24.190,1.359,4,0,standard,east,2,0,1
customer-0042-2025-03,customer-0042,2025-03,9,24.028,-0.559,6,1,standard,east,1,0,0
customer-0043-2025-01,customer-0043,2025-01,24,19.491,1.940,1,1,standard,west,3,0,0
customer-0043-2025-02,customer-0043,2025-02,25,24.467,6.266,7,1,standard,west,1,1,1
customer-0043-2025-03,customer-0043,2025-03,26,19.145,-9.604,1,0,standard,west,3,0,0
customer-0044-2025-01,customer-0044,2025-01,25,19.962,1.320,0,1,premium,north,2,0,0
customer-0044-2025-02,customer-0044,2025-02,26,19.567,4.565,1,0,premium,north,0,0,0
customer-0044-2025-03,customer-0044,2025-03,27,14.017,0.178,0,1,premium,north,0,0,0
customer-0045-2025-01,customer-0045,2025-01,37,20.825,-5.531,2,1,basic,west,2,1,1
customer-0045-2025-02,customer-0045,2025-02,38,23.776,-2.685,2,0,basic,west,1,0,0
customer-0045-2025-03,customer-0045,2025-03,39,19.704,-0.410,0,0,basic,west,1,0,0
customer-0046-2025-01,customer-0046,2025-01,1,15.574,-16.671,1,0,premium,east,0,0,0
customer-0046-2025-02,customer-0046,2025-02,2,14.224,-12.047,0,0,premium,east,3,0,0
customer-0046-2025-03,customer-0046,2025-03,3,20.881,1.481,0,0,premium,east,4,0,0
customer-0047-2025-01,customer-0047,2025-01,26,10.098,3.960,1,1,basic,west,3,0,0
customer-0047-2025-02,customer-0047,2025-02,27,6.757,-1.883,1,0,basic,west,2,0,0
customer-0047-2025-03,customer-0047,2025-03,28,8.524,1.538,0,0,basic,west,4,0,0
customer-0048-2025-01,customer-0048,2025-01,12,19.075,-10.091,0,0,standard,west,1,1,1
customer-0048-2025-02,customer-0048,2025-02,13,21.459,-3.654,0,0,standard,west,1,0,0
customer-0048-2025-03,customer-0048,2025-03,14,25.453,-3.285,0,0,standard,west,2,0,0
customer-0049-2025-01,customer-0049,2025-01,47,17.284,1.660,1,0,basic,east,4,0,0
customer-0049-2025-02,customer-0049,2025-02,48,15.181,4.409,0,0,basic,east,2,1,0
customer-0049-2025-03,customer-0049,2025-03,49,19.356,2.275,1,1,basic,east,4,0,0
customer-0050-2025-01,customer-0050,2025-01,33,24.999,0.144,0,1,premium,east,3,0,0
customer-0050-2025-02,customer-0050,2025-02,34,21.091,-6.167,4,0,premium,east,4,0,1
customer-0050-2025-03,customer-0050,2025-03,35,24.499,4.141,0,0,premium,east,1,0,0
customer-0051-2025-01,customer-0051,2025-01,20,29.079,-1.547,0,0,basic,west,4,1,1
customer-0051-2025-02,customer-0051,2025-02,21,28.774,0.273,1,0,basic,west,1,0,0
customer-0051-2025-03,customer-0051,2025-03,22,26.438,-15.317,0,0,basic,west,0,0,0
customer-0052-2025-01,customer-0052,2025-01,41,25.422,2.667,1,0,standard,south,4,0,0
customer-0052-2025-02,customer-0052,2025-02,42,23.653,-5.697,1,0,standard,south,2,0,0
customer-0052-2025-03,customer-0052,2025-03,43,24.171,8.772,1,1,standard,south,2,0,0
customer-0053-2025-01,customer-0053,2025-01,4,19.369,-1.387,4,0,basic,east,4,0,0
customer-0053-2025-02,customer-0053,2025-02,5,20.519,-6.076,1,1,basic,east,2,0,0
customer-0053-2025-03,customer-0053,2025-03,6,19.981,1.927,0,0,basic,east,2,0,0
customer-0054-2025-01,customer-0054,2025-01,48,13.941,-0.442,2,0,standard,west,1,0,0
customer-0054-2025-02,customer-0054,2025-02,49,20.386,-1.674,2,0,standard,west,1,1,1
customer-0054-2025-03,customer-0054,2025-03,50,18.660,-0.841,2,0,standard,west,1,0,0
customer-0055-2025-01,customer-0055,2025-01,43,21.164,-7.071,1,0,basic,east,4,0,0
customer-0055-2025-02,customer-0055,2025-02,44,23.268,1.270,1,1,basic,east,3,0,0
customer-0055-2025-03,customer-0055,2025-03,45,25.445,3.705,2,1,basic,east,1,0,1
customer-0056-2025-01,customer-0056,2025-01,19,14.809,-12.077,0,0,premium,east,1,0,0
customer-0056-2025-02,customer-0056,2025-02,20,13.357,-0.699,0,0,premium,east,2,0,0
customer-0056-2025-03,customer-0056,2025-03,21,19.248,4.109,0,0,premium,east,0,0,0
customer-0057-2025-01,customer-0057,2025-01,18,19.797,-4.772,2,0,standard,west,2,0,0
customer-0057-2025-02,customer-0057,2025-02,19,18.796,-5.067,1,1,standard,west,3,0,0
customer-0057-2025-03,customer-0057,2025-03,20,20.223,3.799,0,2,standard,west,0,0,0
customer-0058-2025-01,customer-0058,2025-01,2,21.378,4.326,2,0,standard,east,2,1,1
customer-0058-2025-02,customer-0058,2025-02,3,19.913,-4.234,0,2,standard,east,0,0,0
customer-0058-2025-03,customer-0058,2025-03,4,23.466,-3.852,0,0,standard,east,1,0,1
customer-0059-2025-01,customer-0059,2025-01,18,15.657,3.087,0,0,basic,south,2,0,0
customer-0059-2025-02,customer-0059,2025-02,19,16.112,-4.884,0,0,basic,south,2,0,0
customer-0059-2025-03,customer-0059,2025-03,20,14.513,-4.021,1,0,basic,south,1,0,0
customer-0060-2025-01,customer-0060,2025-01,44,18.618,1.088,1,0,standard,south,1,0,0
customer-0060-2025-02,customer-0060,2025-02,45,27.391,-7.221,1,0,standard,south,0,0,0
customer-0060-2025-03,customer-0060,2025-03,46,26.721,-10.710,0,0,standard,south,0,0,0
customer-0061-2025-01,customer-0061,2025-01,42,10.985,-0.094,0,0,premium,south,0,0,0
customer-0061-2025-02,customer-0061,2025-02,43,13.758,5.849,0,0,premium,south,4,0,0
customer-0061-2025-03,customer-0061,2025-03,44,9.475,2.487,4,1,premium,south,1,0,0
customer-0062-2025-01,customer-0062,2025-01,7,20.395,-2.954,0,0,basic,north,0,0,0
customer-0062-2025-02,customer-0062,2025-02,8,17.716,-11.639,0,0,basic,north,3,0,1
customer-0062-2025-03,customer-0062,2025-03,9,16.157,-16.514,0,0,basic,north,0,0,0
customer-0063-2025-01,customer-0063,2025-01,46,22.112,0.452,0,0,premium,north,3,0,0
customer-0063-2025-02,customer-0063,2025-02,47,17.349,-2.459,0,0,premium,north,1,0,0
customer-0063-2025-03,customer-0063,2025-03,48,20.427,-8.687,2,0,premium,north,3,0,0
customer-0064-2025-01,customer-0064,2025-01,30,14.206,2.177,2,0,standard,south,3,0,0
customer-0064-2025-02,customer-0064,2025-02,31,13.291,-6.167,0,1,standard,south,3,0,0
customer-0064-2025-03,customer-0064,2025-03,32,10.928,-7.644,1,0,standard,south,0,0,1
customer-0065-2025-01,customer-0065,2025-01,14,24.623,-6.440,2,0,standard,west,1,0,0
customer-0065-2025-02,customer-0065,2025-02,15,26.094,-12.773,0,0,standard,west,3,0,0
customer-0065-2025-03,customer-0065,2025-03,16,28.884,-11.099,0,0,standard,west,0,0,0
customer-0066-2025-01,customer-0066,2025-01,46,24.109,-0.098,1,0,premium,east,4,0,0
customer-0066-2025-02,customer-0066,2025-02,47,16.702,0.693,4,1,premium,east,1,0,0
customer-0066-2025-03,customer-0066,2025-03,48,21.044,0.296,0,0,premium,east,4,0,0
customer-0067-2025-01,customer-0067,2025-01,43,10.062,-2.024,2,0,basic,west,0,0,0
customer-0067-2025-02,customer-0067,2025-02,44,16.611,12.977,1,0,basic,west,0,0,0
customer-0067-2025-03,customer-0067,2025-03,45,12.313,-1.418,1,0,basic,west,3,0,0
customer-0068-2025-01,customer-0068,2025-01,35,25.228,-3.359,0,0,standard,west,0,1,1
